course1,course2,n_students
4042LSK009G20250,4042LSK008G20250,45
3033AMV205G20250,3033ÍSL209G20250,10
3033ÍSL209G20250,3033AMV205G20250,10
3033AMV205G20250,3033ÍSL447G20250,3
3033ÍSL447G20250,3033AMV205G20250,3
3033ÍSL209G20250,3033ÍSL447G20250,1
3033ÍSL447G20250,3033ÍSL209G20250,1
1011MAN401F20250,1011MAN601F20250,5
1011MAN601F20250,1011MAN401F20250,5
1011MAN401F20250,1011MAN701F20250,1
1011MAN701F20250,1011MAN401F20250,1
1011MAN601F20250,1011MAN701F20250,1
1011MAN701F20250,1011MAN601F20250,1
5051HBV202G20250,5051TÖL025M20250,5
5051TÖL025M20250,5051HBV202G20250,5
5051HBV202G20250,5051TÖL213M20250,5
5051TÖL213M20250,5051HBV202G20250,5
5051HBV202G20250,5051TÖL605M20250,8
5051TÖL605M20250,5051HBV202G20250,8
5051HBV202G20250,5051TÖL607G20250,3
5051TÖL607G20250,5051HBV202G20250,3
5051HBV601G20250,5051TÖL025M20250,16
5051TÖL025M20250,5051HBV601G20250,16
5051HBV601G20250,5051TÖL213M20250,15
5051TÖL213M20250,5051HBV601G20250,15
5051HBV601G20250,5051TÖL605M20250,33
5051TÖL605M20250,5051HBV601G20250,33
5051HBV601G20250,5051TÖL607G20250,10
5051TÖL607G20250,5051HBV601G20250,10
5051TÖL025M20250,5051TÖL213M20250,6
5051TÖL213M20250,5051TÖL025M20250,6
5051TÖL025M20250,5051TÖL605M20250,12
5051TÖL605M20250,5051TÖL025M20250,12
5051TÖL025M20250,5051TÖL607G20250,3
5051TÖL607G20250,5051TÖL025M20250,3
5051TÖL213M20250,5051TÖL605M20250,23
5051TÖL605M20250,5051TÖL213M20250,23
5051TÖL213M20250,5051TÖL607G20250,5
5051TÖL607G20250,5051TÖL213M20250,5
5051TÖL605M20250,5051TÖL607G20250,4
5051TÖL607G20250,5051TÖL605M20250,4
1011MAN401F20250,1011MAN442L20250,13
1011MAN442L20250,1011MAN401F20250,13
2023LÆK601L20250,2023LÆK615G20250,58
2023LÆK615G20250,2023LÆK601L20250,58
2023LÆK601L20250,2023LÆK616G20250,57
2023LÆK616G20250,2023LÆK601L20250,57
2023LÆK601L20250,2023LÆK617G20250,57
2023LÆK617G20250,2023LÆK601L20250,57
2023LÆK615G20250,2023LÆK616G20250,57
2023LÆK616G20250,2023LÆK615G20250,57
2023LÆK615G20250,2023LÆK617G20250,56
2023LÆK617G20250,2023LÆK615G20250,56
2023LÆK616G20250,2023LÆK617G20250,55
2023LÆK617G20250,2023LÆK616G20250,55
2023SJÚ407G20250,2023SJÚ408G20250,35
2023SJÚ408G20250,2023SJÚ407G20250,35
2023SJÚ407G20250,2023SJÚ409G20250,35
2023SJÚ409G20250,2023SJÚ407G20250,35
2023SJÚ407G20250,2023SJÚ411G20250,34
2023SJÚ411G20250,2023SJÚ407G20250,34
2023SJÚ407G20250,2023SJÚ412G20250,33
2023SJÚ412G20250,2023SJÚ407G20250,33
2023SJÚ408G20250,2023SJÚ409G20250,36
2023SJÚ409G20250,2023SJÚ408G20250,36
2023SJÚ408G20250,2023SJÚ411G20250,35
